CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8233","COMM 340","2","Intercultural Communication","3","  AIGM","Lec","TR","1330-1445","LUTR 139","Goen, T","0","Closed",
"8234","COMM 350","W1","WI: Media Criticism","3","  WI","Lec","MWF","0900-0950","LUTR 269","Stern, D","0","Closed",
"8235","COMM 352","1","Philosophy and Communication","3","","Lec","MWF","0900-0950","LUTR 170","Connable, S T.","0","Closed",
"8236","COMM 352","2","Philosophy and Communication","3","","Lec","MWF","1000-1050","LUTR 170","Connable, S T.","0","Closed",
"8237","COMM 352","3","Philosophy and Communication","3","","Lec","TR","0930-1045","FORBES 2058","Sery, J ","0","Closed",
"8238","COMM 360","1","Health &amp; Medical Communication","3","","Lec","TR","0930-1045","LUTR 109","Veksler, A E.","0","Closed",
"8239","COMM 370","1","Qualitative Research Methods","3","","Lec","MWF","1400-1450","LUTR 269","Meyer, M","0","Closed",
"8240","COMM 370","2","Qualitative Research Methods","3","","Lec","MWF","1500-1550","LUTR 269","Meyer, M","1","Open",
"8241","COMM 395","1","Sp Tpc:Communication &amp; Sports","3","","Lec","TR","1330-1445","LUTR 264","Smith, J","0","Closed",
"8242","COMM 395","2","Sp Tpc:Communication &amp; Sports","3","","Lec","TR","1630-1745","LUTR 264","Smith, J","1","Open",
"8243","COMM 452","W1","WI: Sr Research in Comm","3","  WI","Lec","MWF","1000-1050","LUTR 157","Billinson, J","0","Closed",
"8244","COMM 452","W2","WI: Sr Research in Comm","3","  WI","Lec","MWF","1100-1150","LUTR 157","Billinson, J","0","Closed",
"8245","COMM 452","W3","WI: Sr Research in Comm","3","  WI","Lec","MWF","1100-1150","LUTR 242","Manning, L","0","Closed",
"8246","COMM 452","W4","WI: Sr Research in Comm","3","  WI","Lec","MWF","1200-1250","LUTR 131","Stern, D","0","Closed",
"8247","COMM 452","W5","WI: Sr Research in Comm","3","  WI","Lec","MWF","1300-1350","LUTR 264","Stern, D","0","Closed",
"8248","COMM 452","W6","WI: Sr Research in Comm","3","  WI","Lec","TR","0930-1045","LUTR 350","Smith, J","0","Closed",
"8249","COMM 452","W7","WI: Sr Research in Comm","3","  WI","Lec","TR","1330-1445","LUTR 347","Veksler, A","0","Closed",
"8250","COMM 452","W8","WI: Sr Research in Comm","3","  WI","Lec","TR","1500-1615","LUTR 347","Veksler, A","0","Closed",
"8251","COMM 455","1","Critical Cultural Theory","3","","Lec","MWF","1200-1250","TRIB 208","Baughman, L","0","Closed",
"8252","COMM 491","1","Practicum in Communication","1 - 3","","Pra","","","ARR ","Best, M","0","Closed",
"9240","COMM 499","1","Ind St: Relational Comm Resear","1 - 3","","Ind","","","ARR ","Goen, T","0","Closed",
"9400","COMM 499","2","Independent Study","1 - 3","","Ind","","","ARR ","Stern, D","0","Closed",
"9313","COMP 233","1","Applied Music: Composition","2","","Lab","","","ARR ","Cook, C","0","Closed",
"8604","CPEN 214","1","Digital Logic Design","3","","Lec","TR","1800-1915","LUTR 376","Cheney, L E.","0","Closed",
"8605","CPEN 315","1","Digital System Design","3","","Lec","TR","0930-1045","LUTR 170","Gerousis, C P.","6","Open",
"8606","CPEN 315L","1","Digital System Design Lab","1","","Lab","W","1930-2215","LUTR 206","Wang, D","0","Closed",
"8607","CPEN 371","W1","WI: Computer Ethics","2","  WI","Lec","MW","1400-1450","LUTR 210","Casey-Rutland, R; Casey-Rutland, H","0","Closed",
"8608","CPEN 371","W2","WI: Computer Ethics","2","  WI","Lec","MW","1500-1550","LUTR 210","Casey-Rutland, R; Casey-Rutland, H","0","Closed",
